Establishing watches...
Finished establishing watches, now collecting statistics.
total  access  close_nowrite  open  create  filename
12     6       3              3     0       fsroot/aae/baa/caa/
12     6       3              3     0       fsroot/aae/baa/cac/
12     6       3              3     0       fsroot/aae/baa/cad/
12     6       3              3     0       fsroot/aae/baa/cae/
12     6       3              3     0       fsroot/aae/baa/caf/
12     6       3              3     0       fsroot/aae/baa/cag/
12     6       3              3     0       fsroot/aae/bab/cag/
12     6       3              3     0       fsroot/aae/bab/cad/
12     6       3              3     0       fsroot/aae/bab/cac/
12     6       3              3     0       fsroot/aae/bab/caa/
12     6       3              3     0       fsroot/aae/bab/caf/
12     6       3              3     0       fsroot/aae/bab/cab/
12     6       3              3     0       fsroot/aae/bab/cae/
12     6       3              3     0       fsroot/aae/bac/caa/
12     6       3              3     0       fsroot/aae/bac/cab/
12     6       3              3     0       fsroot/aae/bac/cad/
12     6       3              3     0       fsroot/aae/bac/cae/
12     6       3              3     0       fsroot/aae/bac/caf/
12     6       3              3     0       fsroot/aae/bac/cag/
12     6       3              3     0       fsroot/aae/bad/caa/
12     6       3              3     0       fsroot/aae/bad/cab/
12     6       3              3     0       fsroot/aae/bad/cad/
12     6       3              3     0       fsroot/aae/bad/cae/
12     6       3              3     0       fsroot/aae/bad/caf/
12     6       3              3     0       fsroot/aae/bad/cag/
12     6       3              3     0       fsroot/aae/bae/caa/
12     6       3              3     0       fsroot/aae/bae/cab/
12     6       3              3     0       fsroot/aae/bae/cac/
12     6       3              3     0       fsroot/aae/bae/cae/
12     6       3              3     0       fsroot/aae/bae/caf/
12     6       3              3     0       fsroot/aae/bae/cag/
12     6       3              3     0       fsroot/aae/baf/caa/
12     6       3              3     0       fsroot/aae/baf/cac/
12     6       3              3     0       fsroot/aae/baf/cad/
12     6       3              3     0       fsroot/aae/baf/cae/
12     6       3              3     0       fsroot/aae/baf/caf/
12     6       3              3     0       fsroot/aae/baf/cag/
12     6       3              3     0       fsroot/aae/bag/caa/
12     6       3              3     0       fsroot/aae/bag/cac/
12     6       3              3     0       fsroot/aae/bag/cad/
12     6       3              3     0       fsroot/aae/bag/cae/
12     6       3              3     0       fsroot/aae/bag/caf/
12     6       3              3     0       fsroot/aae/bag/cag/
12     6       3              3     0       fsroot/aaf/baa/caa/
12     6       3              3     0       fsroot/aaf/baa/cab/
12     6       3              3     0       fsroot/aaf/baa/cad/
12     6       3              3     0       fsroot/aaf/baa/cae/
12     6       3              3     0       fsroot/aaf/baa/caf/
12     6       3              3     0       fsroot/aaf/baa/cag/
12     6       3              3     0       fsroot/aaf/bab/caa/
12     6       3              3     0       fsroot/aaf/bab/cab/
12     6       3              3     0       fsroot/aaf/bab/cac/
12     6       3              3     0       fsroot/aaf/bab/cae/
12     6       3              3     0       fsroot/aaf/bab/caf/
12     6       3              3     0       fsroot/aaf/bab/cag/
12     6       3              3     0       fsroot/aaf/bac/caa/
12     6       3              3     0       fsroot/aaf/bac/cab/
12     6       3              3     0       fsroot/aaf/bac/cad/
12     6       3              3     0       fsroot/aaf/bac/cae/
12     6       3              3     0       fsroot/aaf/bac/caf/
12     6       3              3     0       fsroot/aaf/bac/cag/
12     6       3              3     0       fsroot/aaf/bad/caa/
12     6       3              3     0       fsroot/aaf/bad/cac/
12     6       3              3     0       fsroot/aaf/bad/cad/
12     6       3              3     0       fsroot/aaf/bad/cae/
12     6       3              3     0       fsroot/aaf/bad/caf/
12     6       3              3     0       fsroot/aaf/bad/cag/
12     6       3              3     0       fsroot/aaf/bae/cab/
12     6       3              3     0       fsroot/aaf/bae/caa/
12     6       3              3     0       fsroot/aaf/bae/cae/
12     6       3              3     0       fsroot/aaf/bae/caf/
12     6       3              3     0       fsroot/aaf/bae/cag/
12     6       3              3     0       fsroot/aaf/baf/caa/
12     6       3              3     0       fsroot/aaf/baf/cab/
12     6       3              3     0       fsroot/aaf/baf/caf/
12     6       3              3     0       fsroot/aaf/baf/cag/
12     6       3              3     0       fsroot/aaf/bag/cab/
12     6       3              3     0       fsroot/aaf/bag/caa/
12     6       3              3     0       fsroot/aaf/bag/cac/
12     6       3              3     0       fsroot/aaf/bag/cae/
12     6       3              3     0       fsroot/aaf/bag/caf/
12     6       3              3     0       fsroot/aaf/bag/cag/
12     6       3              3     0       fsroot/aag/baa/caa/
12     6       3              3     0       fsroot/aag/baa/cac/
12     6       3              3     0       fsroot/aag/baa/cad/
12     6       3              3     0       fsroot/aag/baa/cae/
12     6       3              3     0       fsroot/aag/baa/caf/
12     6       3              3     0       fsroot/aag/baa/cag/
12     6       3              3     0       fsroot/aag/bab/cab/
12     6       3              3     0       fsroot/aag/bab/caa/
12     6       3              3     0       fsroot/aag/bab/cac/
12     6       3              3     0       fsroot/aag/bab/cad/
12     6       3              3     0       fsroot/aag/bab/cag/
12     6       3              3     0       fsroot/aag/bac/caf/
12     6       3              3     0       fsroot/aag/bac/caa/
12     6       3              3     0       fsroot/aag/bac/cae/
12     6       3              3     0       fsroot/aag/bac/cab/
12     6       3              3     0       fsroot/aag/bac/cag/
12     6       3              3     0       fsroot/aag/bac/cac/
12     6       3              3     0       fsroot/aag/bac/cad/
12     6       3              3     0       fsroot/aag/bad/cad/
12     6       3              3     0       fsroot/aag/bad/cac/
12     6       3              3     0       fsroot/aag/bad/cag/
12     6       3              3     0       fsroot/aag/bad/cab/
12     6       3              3     0       fsroot/aag/bad/cae/
12     6       3              3     0       fsroot/aag/bad/caa/
12     6       3              3     0       fsroot/aag/bad/caf/
12     6       3              3     0       fsroot/aag/bae/caf/
12     6       3              3     0       fsroot/aag/bae/caa/
12     6       3              3     0       fsroot/aag/bae/cae/
12     6       3              3     0       fsroot/aag/bae/cab/
12     6       3              3     0       fsroot/aag/bae/cag/
12     6       3              3     0       fsroot/aag/bae/cac/
12     6       3              3     0       fsroot/aag/bae/cad/
12     6       3              3     0       fsroot/aag/baf/cac/
12     6       3              3     0       fsroot/aag/baf/cad/
12     6       3              3     0       fsroot/aag/baf/cag/
12     6       3              3     0       fsroot/aag/baf/cae/
12     6       3              3     0       fsroot/aag/baf/cab/
12     6       3              3     0       fsroot/aag/baf/caf/
12     6       3              3     0       fsroot/aag/baf/caa/
12     6       3              3     0       fsroot/aag/bag/cae/
12     6       3              3     0       fsroot/aag/bag/cab/
12     6       3              3     0       fsroot/aag/bag/caf/
12     6       3              3     0       fsroot/aag/bag/caa/
12     6       3              3     0       fsroot/aag/bag/cac/
12     6       3              3     0       fsroot/aag/bag/cad/
12     6       3              3     0       fsroot/aag/bag/cag/
